junction,corridor,event_count,avg_risk_score,high_priority_rate,junction_risk_score,priority_rank
HulimaveRd-BanneraghattaRdJunc,Bannerghata Road,9,99.90888888888888,1.0,91.0,71
RamamurthyNagarJunction,ORR North 1,9,99.89222222222222,1.0,90.99,72
OldMadrasRd-NGEF Junc,Old Madras Road,8,99.985,1.0,90.55,73
OldMadrasRd-80FeetRdJunc,Old Madras Road,8,99.98375,1.0,90.55,74
AnilKumbleCircle,Old Madras Road,8,99.97125,1.0,90.54,75
MeenakshiMallJunc,Bannerghata Road,8,99.8975,1.0,90.48,76
CoffeeBoardJunc,CBD 2,8,99.86,1.0,90.45,77
MinskSquare(CTO Junction),CBD 2,8,99.78375,1.0,90.39,78
JayadevaHospitalJunc,Bannerghata Road,8,99.54375,1.0,90.2,79
DomlurWaterTank,Old Airport Road,8,99.495,1.0,90.16,80
HunsemarammanahalliJunction,Bellary Road 2,7,99.98714285714286,1.0,89.99,81
DhobiGhatJunc,West of Chord Road,7,99.98,1.0,89.98,82
SadahalliGateJunc(AirportRd),Bellary Road 2,7,99.94571428571429,1.0,89.96,83
ShivajiTalkiesJunc,Mysore Road,7,99.87571428571428,1.0,89.9,84
JP Nagar 15th cross junction,ORR West 1,7,99.86857142857143,1.0,89.89,85
K R MarketJunction,Mysore Road,7,99.78571428571429,1.0,89.83,86
Dr TCM RoyanRd near AmbedkarStatue,Mysore Road,9,98.43555555555557,1.0,89.82,87
KadirenahalliJunction,ORR West 1,8,98.73625,1.0,89.56,88
UniversityJunc(Janabharti),Mysore Road,11,96.80636363636363,1.0,89.39,89
ItmaduJunction,ORR West 1,6,99.99833333333333,1.0,89.36,90
MC Circle,West of Chord Road,6,99.99,1.0,89.35,91
PrasannaJunction,Magadi Road,6,99.98833333333333,1.0,89.35,92
VijayanagarBusStandJunction,West of Chord Road,6,99.98166666666667,1.0,89.34,93
Ashoknagar Junction(ShoolayCircle),Mysore Road,6,99.98333333333333,1.0,89.34,94
Kudlu Gate Junc,Hosur Road,6,99.97833333333334,1.0,89.34,95
KalyanNagar-ORR Junc,ORR North 1,6,99.95833333333333,1.0,89.32,96
Rajajinagar19thMainJunc,West of Chord Road,6,99.92833333333333,1.0,89.3,97
AnepalyaJunc,Hosur Road,6,99.84833333333334,1.0,89.24,98
KundanahalliGateJunc,Varthur Road,11,96.45454545454545,1.0,89.11,99
BDA Junctio-Koramangala,IRR(Thanisandra road),6,99.54333333333334,1.0,88.99,100
MysoreRd-RingRdJunc(Nayandanahallii),Mysore Road,5,99.99600000000001,1.0,88.61,101
GarebhavipalyaJunc,Hosur Road,5,99.992,1.0,88.61,102
JaiMuniRaoCircle,Magadi Road,5,99.99,1.0,88.61,103
AshirwadamCircle,Mysore Road,5,99.994,1.0,88.61,104
OldPoliceStation-Ashoknagar,Mysore Road,5,99.976,1.0,88.6,105
QueensStatueCircle,Old Madras Road,5,99.97999999999999,1.0,88.6,106
MayohallJunction,Old Madras Road,5,99.976,1.0,88.6,107
AgaraJunction,ORR East 1,5,99.968,1.0,88.59,108
CMH Rd-AdarshTheaterJunc,Old Madras Road,5,99.952,1.0,88.58,109
KamrajRdJunction,Old Madras Road,5,99.944,1.0,88.57,110
BasaweshwaraCircle,Bellary Road 1,5,99.866,1.0,88.51,111
Marigowda-TavarkereRdJunc,Hosur Road,5,99.72200000000001,1.0,88.39,112
TyagiHengalvarayaJunc(DickensonRd),CBD 1,5,99.284,1.0,88.04,113
SagarHospitalJunc,Bannerghata Road,5,99.24199999999999,1.0,88.01,114
HennurRoad-ORR Junc,ORR North 1,4,100.0,1.0,87.74,115
Kammanahalli-RingRoadJunction,ORR North 1,4,99.9725,1.0,87.72,116
PES-DevegowdaCircle,ORR West 1,4,99.96000000000001,1.0,87.71,117
OperaHouseJunc,Mysore Road,4,99.965,1.0,87.71,118
Srinivagilu(Ejipura)Junc,IRR(Thanisandra road),4,99.83,1.0,87.6,119
A S CharStreet-MysoreRdJunc,Mysore Road,5,98.704,1.0,87.58,120
Yemalur cross junc,Old Airport Road,4,99.7525,1.0,87.54,121
BloodBankCircle,Mysore Road,4,99.64,1.0,87.45,122
Jaipuria-Adugodi,IRR(Thanisandra road),4,99.5775,1.0,87.4,123
QueensStatueCircle,CBD 2,4,99.5,1.0,87.34,124
MahalaxmiLayoutEntranceJunc,West of Chord Road,4,99.3725,1.0,87.24,125
NavarangTheatreJunction,West of Chord Road,4,99.0825,1.0,87.01,126
BiryandCircle,Mysore Road,5,97.738,1.0,86.81,127
HebbalFlyoverJunc,ORR North 1,3,100.0,1.0,86.67,128
